deploy_timestamp,service_name,service_criticality_tier,owning_team,author,commit_sha,deploy_hour,day_of_week,is_weekend,lines_changed,files_changed,incidents_last_30d,days_since_last_incident,oncall_engineers_available,is_oncall_senior,has_rollback_plan,test_coverage_delta,_team_maturity,_p_true,outcome
2026-04-04T09:06:00+00:00,billing-svc,2,payments,eng32,a5fbde274d,9,5,1,26,2,1,3.0,1,0,0,4.73,0.46,0.5388,0
2026-03-13T02:28:00+00:00,notifications,1,growth,eng34,efdc109f8b,2,4,0,52,4,0,1.0,2,0,1,,0.526,0.1672,0
2026-06-15T12:04:00+00:00,billing-svc,2,payments,eng40,7ad161b702,12,0,0,58,3,2,14.0,4,1,1,-1.8,0.423,0.0945,0
2026-06-14T14:19:00+00:00,search-svc,2,discovery,eng13,c794c687ba,14,6,1,38,1,0,1.0,1,1,1,-2.52,0.892,0.069,0
2026-06-14T22:31:00+00:00,billing-svc,2,payments,eng05,de0a67453a,22,6,1,48,1,0,,2,1,0,-2.45,0.684,0.238,0
2026-04-05T20:22:00+00:00,billing-svc,2,payments,eng40,f3a8e64da2,20,6,1,51,5,0,6.0,2,0,1,2.6,0.486,0.1977,0
2026-06-14T16:36:00+00:00,recommendations,1,discovery,eng36,b4eb9f7d35,16,6,1,107,1,0,81.0,3,0,0,0.44,0.619,0.0287,0
2026-05-13T10:09:00+00:00,analytics-etl,1,data,eng04,6e420a5475,10,2,0,102,4,1,21.0,2,0,1,0.58,0.543,0.0704,0
2026-04-26T20:42:00+00:00,catalog-api,1,storefront,eng31,c907bb491d,20,6,1,27,3,1,44.0,2,1,0,-0.46,0.574,0.1093,0
2026-05-10T16:19:00+00:00,payments-api,3,payments,eng26,ae8942ec45,16,6,1,189,2,1,28.0,1,0,1,-0.95,0.304,0.4482,1
2026-02-05T14:40:00+00:00,recommendations,1,discovery,eng23,2ff035e65b,14,3,0,66,5,1,38.0,2,1,0,-0.1,0.516,0.0248,0
2026-03-02T20:18:00+00:00,payments-api,3,payments,eng28,32c1e98dd6,20,0,0,79,4,3,16.0,4,0,1,-2.23,0.241,0.6339,1
2026-06-29T19:56:00+00:00,recommendations,1,discovery,eng20,654c179a51,19,0,0,22,4,0,30.0,2,0,1,,0.506,0.0142,0
2026-05-29T23:08:00+00:00,search-svc,2,discovery,eng03,8a6e8e4456,23,4,0,49,3,1,64.0,2,0,0,2.49,0.483,0.3417,0
2026-04-26T19:18:00+00:00,checkout-web,2,storefront,eng12,4c03762c53,19,6,1,67,2,1,,2,1,1,-1.82,0.396,0.0788,0
2026-02-05T04:52:00+00:00,catalog-api,1,storefront,eng20,6ed59d42a2,4,3,0,70,7,0,16.0,1,1,1,0.4,0.708,0.0798,0
2026-02-20T23:59:00+00:00,analytics-etl,1,data,eng07,c1159182df,23,4,0,53,1,1,26.0,1,1,0,1.69,0.483,0.0847,0
2026-05-28T00:46:00+00:00,search-svc,2,discovery,eng09,cb1a81d297,0,3,0,31,2,1,40.0,3,0,0,-4.55,0.696,0.6002,1
2026-06-14T17:12:00+00:00,notifications,1,growth,eng28,6938832778,17,6,1,23,5,1,16.0,1,1,0,0.3,0.321,0.0724,0
2026-02-03T04:03:00+00:00,recommendations,1,discovery,eng32,7bc0ed42d2,4,1,0,140,6,1,10.0,1,0,1,-0.86,0.77,0.3668,1
2026-01-24T07:40:00+00:00,search-svc,2,discovery,eng31,6b15556571,7,5,1,4,1,2,35.0,3,0,1,,0.741,0.1848,0
2026-05-17T09:23:00+00:00,inventory-svc,2,supply,eng12,be6f41503c,9,6,1,222,4,2,100.0,2,1,0,3.16,0.504,0.4856,1
2026-02-09T12:15:00+00:00,catalog-api,1,storefront,eng37,777e36b841,12,0,0,153,1,0,,4,1,1,0.34,0.691,0.0107,0
2026-03-27T08:20:00+00:00,catalog-api,1,storefront,eng31,baa2a2c31a,8,4,0,40,3,0,16.0,3,1,1,1.45,0.644,0.0192,0
2026-02-27T13:55:00+00:00,analytics-etl,1,data,eng13,a1459e84e2,13,4,0,58,1,2,35.0,4,0,0,-2.17,0.509,0.1002,0
2026-04-15T21:22:00+00:00,search-svc,2,discovery,eng15,7fa284196d,21,2,0,46,2,2,15.0,4,0,0,-1.47,0.526,0.6721,0
2026-01-19T05:35:00+00:00,notifications,1,growth,eng37,89cfabfed2,5,0,0,143,1,1,11.0,2,1,1,-1.87,0.257,0.2471,0
2026-01-26T09:42:00+00:00,notifications,1,growth,eng27,9fd474ba1b,9,0,0,356,5,1,45.0,3,1,1,-0.13,0.633,0.0489,0
2026-01-24T10:03:00+00:00,analytics-etl,1,data,eng11,564fd74f7a,10,5,1,306,2,0,24.0,3,1,1,-1.14,0.821,0.0294,0
2026-05-13T11:21:00+00:00,payments-api,3,payments,eng28,24e34d31cb,11,2,0,61,3,2,58.0,2,1,0,,0.342,0.1447,0
2026-01-06T22:39:00+00:00,analytics-etl,1,data,eng28,221ba37c14,22,1,0,203,2,0,80.0,3,0,1,-4.38,0.673,0.085,0
2026-06-28T13:25:00+00:00,payments-api,3,payments,eng18,8e27f23893,13,6,1,19,5,2,26.0,1,1,1,0.08,0.326,0.3098,0
2026-02-11T10:03:00+00:00,recommendations,1,discovery,eng28,e75387b40b,10,2,0,56,3,1,3.0,4,0,1,0.33,0.525,0.0621,0
2026-02-15T14:46:00+00:00,analytics-etl,1,data,eng40,d48b3a727c,14,6,1,567,5,0,6.0,1,1,1,-4.21,0.717,0.0919,1
2026-04-19T05:38:00+00:00,catalog-api,1,storefront,eng04,5f0e0fa714,5,6,1,119,1,0,8.0,0,1,1,4.45,0.664,0.1083,0
2026-02-06T21:06:00+00:00,analytics-etl,1,data,eng09,a5aaccb431,21,4,0,56,4,0,0.0,4,1,1,0.38,0.528,0.0978,0
2026-03-02T09:09:00+00:00,search-svc,2,discovery,eng21,876bce917e,9,0,0,358,5,2,,3,1,0,,0.754,0.4144,0
2026-05-22T13:53:00+00:00,analytics-etl,1,data,eng17,1ed9f0d9d2,13,4,0,22,1,2,117.0,4,1,1,0.42,0.68,0.0173,0
2026-04-01T11:06:00+00:00,notifications,1,growth,eng40,4ef9e170ad,11,2,0,68,3,0,7.0,3,0,1,0.55,0.669,0.0347,0
2026-06-20T18:41:00+00:00,checkout-web,2,storefront,eng40,10b1f9ec11,18,5,1,214,5,1,4.0,2,0,1,2.13,0.377,0.2111,1
2026-01-04T07:12:00+00:00,inventory-svc,2,supply,eng12,fb4cfa54de,7,6,1,75,3,3,,3,0,1,5.58,0.421,0.5676,0
2026-01-10T18:40:00+00:00,recommendations,1,discovery,eng04,3384637573,18,5,1,102,2,0,48.0,1,0,0,3.03,0.795,0.0366,0
2026-06-24T15:04:00+00:00,auth-svc,3,identity,eng06,43ae4ea2cf,15,2,0,17,3,1,,3,0,0,-1.01,0.44,0.2746,1
2026-02-03T22:51:00+00:00,analytics-etl,1,data,eng19,acab9a56b7,22,1,0,38,1,1,91.0,3,0,1,3.01,0.723,0.0266,0
2026-04-01T22:17:00+00:00,inventory-svc,2,supply,eng39,9f94d2f754,22,2,0,52,1,1,50.0,2,1,1,-4.26,0.486,0.0739,0
2026-02-27T07:08:00+00:00,auth-svc,3,identity,eng16,5697c5a697,7,4,0,21,2,2,71.0,3,1,1,1.89,0.741,0.1375,0
2026-06-28T12:51:00+00:00,catalog-api,1,storefront,eng35,db66f88638,12,6,1,51,2,1,30.0,2,1,1,-2.59,0.482,0.0185,0
2026-03-15T16:24:00+00:00,catalog-api,1,storefront,eng20,39964e3e1d,16,6,1,111,1,1,4.0,3,1,1,1.61,0.826,0.0347,0
2026-05-29T00:36:00+00:00,auth-svc,3,identity,eng27,37e9364cc5,0,4,0,29,1,2,24.0,3,1,0,0.93,0.689,0.5081,1
2026-05-16T00:03:00+00:00,checkout-web,2,storefront,eng40,d9ea67412b,0,5,1,87,3,1,61.0,0,0,0,7.49,0.314,0.6516,0
2026-06-06T11:06:00+00:00,payments-api,3,payments,eng01,e1d2073923,11,5,1,46,1,2,143.0,3,1,1,1.48,0.324,0.3329,0
2026-04-28T21:51:00+00:00,payments-api,3,payments,eng24,0dd04ab101,21,1,0,26,3,1,43.0,3,0,1,-2.18,0.441,0.125,0
2026-03-26T18:13:00+00:00,inventory-svc,2,supply,eng21,fc5ce0c865,18,3,0,38,2,2,6.0,3,1,0,-1.87,0.319,0.1949,0
2026-01-24T00:22:00+00:00,auth-svc,3,identity,eng21,5ef2861ea0,0,5,1,522,7,2,8.0,2,0,1,0.16,0.562,0.9297,1
2026-01-16T06:19:00+00:00,payments-api,3,payments,eng37,0ad414c7bb,6,4,0,360,6,3,24.0,3,0,0,-1.56,0.212,0.9693,1
2026-05-11T22:38:00+00:00,checkout-web,2,storefront,eng37,4eed7a73ce,22,0,0,62,4,3,5.0,1,1,1,-0.57,0.383,0.261,0
2026-01-08T16:17:00+00:00,payments-api,3,payments,eng03,416bb17061,16,3,0,343,4,2,35.0,3,0,1,-1.0,0.423,0.3292,0
2026-05-13T13:05:00+00:00,search-svc,2,discovery,eng21,611083ba20,13,2,0,179,2,1,59.0,3,1,0,2.15,0.792,0.082,0
2026-03-16T08:40:00+00:00,recommendations,1,discovery,eng12,d093a749d3,8,0,0,39,1,0,17.0,3,0,0,-1.35,0.405,0.1439,0
2026-04-10T20:22:00+00:00,auth-svc,3,identity,eng11,084395cdb5,20,4,0,38,3,3,33.0,2,1,1,,0.645,0.207,0
2026-04-30T19:40:00+00:00,checkout-web,2,storefront,eng30,7d1177b2ca,19,3,0,116,2,1,6.0,4,1,0,,0.461,0.4625,0
2026-06-15T22:04:00+00:00,billing-svc,2,payments,eng28,2b4ed18f93,22,0,0,58,3,1,50.0,2,0,0,-0.16,0.438,0.5047,1
2026-03-24T17:10:00+00:00,payments-api,3,payments,eng36,30fe6e2dda,17,1,0,83,2,0,22.0,4,1,1,5.43,0.425,0.048,0
2026-03-07T03:16:00+00:00,billing-svc,2,payments,eng18,ff1085e821,3,5,1,102,4,1,,1,1,0,-3.72,0.774,0.6753,1
2026-06-28T15:18:00+00:00,payments-api,3,payments,eng01,537993fd6a,15,6,1,14,3,3,8.0,3,0,1,-3.51,0.291,0.3562,0
2026-03-25T13:52:00+00:00,billing-svc,2,payments,eng33,3a3db53e2c,13,2,0,123,2,1,31.0,3,0,0,-0.88,0.332,0.3412,0
2026-05-15T10:27:00+00:00,auth-svc,3,identity,eng15,664d7d0a90,10,4,0,168,4,0,26.0,4,1,0,-2.73,0.415,0.6427,0
2026-04-02T10:06:00+00:00,auth-svc,3,identity,eng21,6a6987dc97,10,3,0,61,2,3,21.0,3,1,1,-1.01,0.406,0.3936,1
2026-06-19T03:47:00+00:00,analytics-etl,1,data,eng17,f215ebbae2,3,4,0,264,4,0,17.0,3,0,1,,0.614,0.2007,1
2026-01-29T16:28:00+00:00,analytics-etl,1,data,eng29,dd03bb2a83,16,3,0,103,2,1,1.0,2,1,0,-4.17,0.634,0.0859,0
2026-06-28T04:59:00+00:00,auth-svc,3,identity,eng39,2db11e6124,4,6,1,43,2,0,16.0,1,0,0,0.61,0.652,0.8398,1
2026-02-22T19:31:00+00:00,auth-svc,3,identity,eng05,0c1527ca19,19,6,1,74,1,2,170.0,3,1,1,1.67,0.606,0.2393,0
2026-01-06T22:45:00+00:00,catalog-api,1,storefront,eng01,b5f608ecb8,22,1,0,115,4,1,23.0,3,1,0,-2.62,0.662,0.1347,0
2026-01-13T00:01:00+00:00,recommendations,1,discovery,eng22,a6a5fc9684,0,1,0,49,2,1,13.0,2,1,1,-3.57,0.652,0.1715,0
2026-02-27T21:44:00+00:00,recommendations,1,discovery,eng22,62d63387a5,21,4,0,27,1,0,53.0,2,1,1,1.57,0.854,0.005,0
2026-02-27T22:23:00+00:00,notifications,1,growth,eng20,712c558f25,22,4,0,63,5,1,12.0,2,1,0,4.53,0.456,0.1271,0
2026-03-25T09:23:00+00:00,inventory-svc,2,supply,eng12,fc4defb772,9,2,0,25,4,0,155.0,3,1,1,-3.16,0.671,0.083,1
2026-06-11T08:44:00+00:00,payments-api,3,payments,eng14,a0454f481f,8,3,0,77,4,1,17.0,3,1,1,2.18,0.241,0.3913,1
2026-03-09T19:55:00+00:00,inventory-svc,2,supply,eng27,5f105ac848,19,0,0,23,2,3,68.0,2,0,1,-2.69,0.274,0.1683,0
2026-03-13T10:38:00+00:00,checkout-web,2,storefront,eng11,6ac1dc9a35,10,4,0,49,2,2,35.0,4,0,1,-1.59,0.365,0.2613,0
2026-05-04T12:48:00+00:00,analytics-etl,1,data,eng18,b572abba82,12,0,0,7,2,1,36.0,3,1,1,-2.11,0.729,0.0067,0
2026-03-20T17:45:00+00:00,notifications,1,growth,eng15,9e4b556060,17,4,0,28,1,1,24.0,4,1,0,-3.1,0.492,0.0338,0
2026-01-31T02:22:00+00:00,inventory-svc,2,supply,eng29,7692e9adb6,2,5,1,42,2,0,32.0,2,1,1,-4.32,0.416,0.3343,1
2026-06-28T16:49:00+00:00,catalog-api,1,storefront,eng07,156e196997,16,6,1,36,2,1,23.0,3,0,1,-1.55,0.826,0.0096,0
2026-04-16T12:07:00+00:00,checkout-web,2,storefront,eng11,4759efdbbd,12,3,0,133,4,1,15.0,4,1,0,-4.18,0.583,0.184,0
2026-02-13T05:30:00+00:00,billing-svc,2,payments,eng03,9f912016be,5,4,0,75,5,0,34.0,2,1,0,3.07,0.329,0.4218,0
2026-04-18T07:48:00+00:00,catalog-api,1,storefront,eng10,8caa409ee9,7,5,1,45,1,2,40.0,3,1,1,1.02,0.869,0.015,1
2026-02-06T14:13:00+00:00,auth-svc,3,identity,eng32,62bf243151,14,4,0,7,1,2,5.0,3,1,0,-1.79,0.561,0.4021,1
2026-06-19T17:10:00+00:00,inventory-svc,2,supply,eng14,0e8e3f4ee4,17,4,0,218,5,1,2.0,2,0,1,-2.03,0.357,0.4688,1
2026-05-28T19:30:00+00:00,checkout-web,2,storefront,eng10,df87cba3fc,19,3,0,94,3,1,48.0,2,1,1,0.98,0.616,0.0453,0
2026-03-30T05:59:00+00:00,inventory-svc,2,supply,eng09,35425ec9bd,5,0,0,146,6,6,22.0,1,1,1,-3.15,0.529,0.8088,1
2026-02-14T12:02:00+00:00,checkout-web,2,storefront,eng26,c7e2b11657,12,5,1,98,5,4,31.0,3,1,1,-2.49,0.297,0.3407,1
2026-06-23T23:43:00+00:00,billing-svc,2,payments,eng22,97a60a5222,23,1,0,41,1,2,95.0,2,1,0,-3.69,0.381,0.5597,1
2026-06-07T03:52:00+00:00,checkout-web,2,storefront,eng31,4bdbdb08c2,3,6,1,111,1,1,,1,0,0,0.87,0.258,0.9429,1
2026-04-18T08:58:00+00:00,inventory-svc,2,supply,eng33,01ecb971be,8,5,1,99,4,2,20.0,2,0,0,6.16,0.566,0.4766,0
2026-04-26T11:03:00+00:00,inventory-svc,2,supply,eng12,ce69c7deaa,11,6,1,66,6,1,23.0,3,1,0,1.76,0.739,0.1279,0
2026-02-18T14:32:00+00:00,inventory-svc,2,supply,eng36,62b57b28e9,14,2,0,218,5,2,68.0,2,1,0,-0.08,0.602,0.1213,0
2026-04-16T08:46:00+00:00,inventory-svc,2,supply,eng18,6335fe92e5,8,3,0,89,3,3,7.0,3,1,1,5.55,0.639,0.1451,0
2026-03-26T15:55:00+00:00,inventory-svc,2,supply,eng13,74a1e8ee25,15,3,0,55,6,3,102.0,3,0,1,-3.14,0.347,0.1658,0
2026-01-05T07:13:00+00:00,notifications,1,growth,eng10,fa87cc244e,7,0,0,16,3,1,1.0,3,0,0,-3.51,0.47,0.3509,0
2026-04-23T18:20:00+00:00,search-svc,2,discovery,eng16,e9a4445437,18,3,0,22,2,1,75.0,3,0,1,1.99,0.496,0.0216,0
2026-01-29T08:50:00+00:00,payments-api,3,payments,eng05,cee7da8506,8,3,0,216,1,1,8.0,3,1,0,-1.95,0.57,0.7349,1
2026-03-14T09:57:00+00:00,analytics-etl,1,data,eng35,ac08b150bb,9,5,1,51,4,0,13.0,1,1,0,-1.03,0.641,0.1016,1
2026-05-02T04:05:00+00:00,auth-svc,3,identity,eng04,25c2354934,4,5,1,12,1,0,77.0,0,1,0,0.07,0.578,0.6834,0
2026-02-05T14:19:00+00:00,checkout-web,2,storefront,eng15,4cd2a4073c,14,3,0,23,2,0,1.0,4,1,1,0.25,0.262,0.0285,0
2026-06-13T13:41:00+00:00,checkout-web,2,storefront,eng32,221894923b,13,5,1,338,6,1,124.0,3,1,0,-2.01,0.346,0.3478,0
2026-03-02T09:17:00+00:00,billing-svc,2,payments,eng30,9fa7c34a89,9,0,0,14,2,0,135.0,3,0,1,1.82,0.457,0.0443,0
2026-03-31T09:46:00+00:00,payments-api,3,payments,eng35,f23357ea20,9,1,0,62,1,0,6.0,2,0,0,,0.238,0.8211,1
2026-04-02T15:32:00+00:00,notifications,1,growth,eng11,1eae496221,15,3,0,378,4,1,,4,0,1,-3.13,0.483,0.0449,0
2026-03-03T01:57:00+00:00,checkout-web,2,storefront,eng23,0f0ccc1118,1,1,0,60,6,2,20.0,3,0,1,3.53,0.515,0.3877,0
2026-03-29T09:27:00+00:00,billing-svc,2,payments,eng15,e95ce21fb1,9,6,1,588,9,4,72.0,3,0,0,1.9,0.578,0.8235,1
2026-02-05T11:56:00+00:00,inventory-svc,2,supply,eng01,8ec984b2a9,11,3,0,103,1,0,121.0,3,1,1,-1.07,0.583,0.0311,0
2026-06-03T01:19:00+00:00,search-svc,2,discovery,eng03,22331a389f,1,2,0,46,1,2,11.0,2,0,0,0.59,0.683,0.791,1
2026-03-28T19:08:00+00:00,recommendations,1,discovery,eng01,568b5d751d,19,5,1,14,1,0,132.0,1,0,0,-0.97,0.53,0.0329,0
2026-05-08T09:48:00+00:00,search-svc,2,discovery,eng05,f32288be15,9,4,0,19,4,3,41.0,3,0,1,-1.71,0.483,0.1886,1
2026-02-04T11:57:00+00:00,inventory-svc,2,supply,eng04,078c4b933d,11,2,0,10,5,3,3.0,2,0,1,,0.563,0.1311,0
2026-05-15T17:00:00+00:00,catalog-api,1,storefront,eng32,682a798f1e,17,4,0,24,1,0,4.0,3,0,1,3.26,0.575,0.0099,0
2026-03-10T09:31:00+00:00,search-svc,2,discovery,eng26,c2e6fc3304,9,1,0,109,2,0,44.0,3,1,1,-4.66,0.728,0.0579,0
2026-03-01T03:10:00+00:00,inventory-svc,2,supply,eng07,12f42bef0f,3,6,1,37,4,0,26.0,2,1,0,0.07,0.622,0.4134,1
2026-04-06T22:34:00+00:00,payments-api,3,payments,eng29,c50b4e8335,22,0,0,153,6,1,0.0,2,1,0,-1.76,0.302,0.8809,1
2026-04-29T14:19:00+00:00,inventory-svc,2,supply,eng08,01cc0241d7,14,2,0,52,1,1,15.0,4,0,1,0.69,0.384,0.0688,0
2026-06-24T03:28:00+00:00,notifications,1,growth,eng16,1a4cbac0c2,3,2,0,45,1,2,11.0,1,0,1,0.27,0.533,0.2372,0
2026-06-10T10:07:00+00:00,inventory-svc,2,supply,eng16,6b62d986ca,10,2,0,35,1,6,71.0,3,0,1,1.22,0.399,0.3315,0
2026-06-01T07:22:00+00:00,analytics-etl,1,data,eng17,e8497db9a8,7,0,0,17,3,2,51.0,2,1,0,1.9,0.561,0.1431,0
2026-02-13T06:05:00+00:00,inventory-svc,2,supply,eng11,7d1a1b9549,6,4,0,49,3,1,2.0,1,1,1,1.54,0.352,0.2614,1
2026-04-26T12:40:00+00:00,auth-svc,3,identity,eng28,34892ef30f,12,6,1,43,4,3,14.0,2,0,0,-3.49,0.537,0.8457,1
2026-06-03T06:42:00+00:00,recommendations,1,discovery,eng28,7f295f8bec,6,2,0,28,4,2,18.0,2,1,0,7.58,0.737,0.085,1
2026-03-02T19:15:00+00:00,checkout-web,2,storefront,eng36,3c0cc00844,19,0,0,37,4,0,1.0,2,0,0,2.33,0.415,0.4501,0
2026-03-06T00:14:00+00:00,inventory-svc,2,supply,eng33,d8aef6157f,0,4,0,274,2,1,85.0,1,0,1,-6.0,0.602,0.6514,1
2026-06-20T06:49:00+00:00,billing-svc,2,payments,eng29,7e56cb06fd,6,5,1,69,6,1,17.0,1,1,0,-3.08,0.554,0.6933,0
2026-05-17T04:26:00+00:00,checkout-web,2,storefront,eng10,fcbdb8b48c,4,6,1,12,4,3,31.0,2,0,0,1.4,0.446,0.7155,1
2026-05-31T01:54:00+00:00,billing-svc,2,payments,eng10,2fb750a9ce,1,6,1,88,4,3,50.0,2,0,1,-4.64,0.563,0.7281,1
2026-06-04T21:38:00+00:00,billing-svc,2,payments,eng12,31e51fcf2f,21,3,0,91,1,5,19.0,2,0,1,1.49,0.18,0.4493,0
2026-05-28T02:52:00+00:00,payments-api,3,payments,eng17,7e95489207,2,3,0,45,3,1,7.0,1,1,1,1.88,0.594,0.2908,0
2026-03-24T05:37:00+00:00,search-svc,2,discovery,eng19,03117a3fd1,5,1,0,57,3,0,28.0,3,0,1,3.61,0.705,0.1268,0
2026-06-18T12:42:00+00:00,checkout-web,2,storefront,eng03,af4285a23b,12,3,0,65,1,1,16.0,3,1,1,,0.347,0.0351,0
2026-04-26T15:49:00+00:00,search-svc,2,discovery,eng13,d5ac8d4259,15,6,1,4,4,0,2.0,2,1,1,1.26,0.613,0.0101,0
2026-06-23T03:55:00+00:00,recommendations,1,discovery,eng14,9fcc9bb15f,3,1,0,37,3,0,78.0,3,1,1,0.56,0.752,0.0602,0
2026-06-02T01:56:00+00:00,catalog-api,1,storefront,eng36,0d89307b33,1,1,0,70,2,1,2.0,2,0,1,0.29,0.853,0.1556,0
2026-06-08T02:41:00+00:00,payments-api,3,payments,eng05,a8f93849ad,2,0,0,93,2,1,4.0,3,1,1,-2.54,0.402,0.5268,1
2026-05-02T02:26:00+00:00,analytics-etl,1,data,eng11,375ccc6bf3,2,5,1,297,4,1,21.0,2,1,0,2.08,0.668,0.3954,1
2026-04-29T06:20:00+00:00,payments-api,3,payments,eng29,105aa99cc1,6,2,0,24,7,2,11.0,1,0,1,-1.91,0.439,0.6755,1
2026-03-17T20:29:00+00:00,billing-svc,2,payments,eng01,9fdaf8aea7,20,1,0,47,2,2,1.0,2,0,1,-1.05,0.322,0.384,1
2026-05-05T03:20:00+00:00,auth-svc,3,identity,eng19,6bcb9fa19f,3,1,0,22,2,2,12.0,1,0,1,-2.49,0.524,0.6874,1
2026-05-03T12:18:00+00:00,analytics-etl,1,data,eng38,56aec638ee,12,6,1,18,1,1,7.0,1,1,1,0.57,0.839,0.0111,0
2026-03-28T21:21:00+00:00,auth-svc,3,identity,eng17,35cf0a616b,21,5,1,41,3,0,16.0,3,1,0,-1.67,0.617,0.7238,1
2026-01-28T02:11:00+00:00,payments-api,3,payments,eng11,344d062186,2,2,0,30,1,2,7.0,2,1,1,-1.66,0.164,0.585,0
2026-06-21T12:05:00+00:00,recommendations,1,discovery,eng05,ce2b397fe4,12,6,1,57,3,0,3.0,2,0,1,4.2,0.567,0.0468,0
2026-02-16T22:09:00+00:00,checkout-web,2,storefront,eng38,060f954c17,22,0,0,60,4,2,100.0,1,0,0,5.28,0.37,0.262,0
2026-04-20T05:02:00+00:00,billing-svc,2,payments,eng13,56897c5799,5,0,0,204,2,0,47.0,3,1,0,-1.98,0.364,0.5028,1
2026-02-05T21:15:00+00:00,notifications,1,growth,eng13,fca16229f3,21,3,0,23,2,1,0.0,2,0,1,7.96,0.188,0.1021,0
2026-01-11T08:07:00+00:00,payments-api,3,payments,eng21,14e928f6f0,8,6,1,45,2,1,9.0,3,0,0,-1.99,0.153,0.9517,1
2026-06-29T04:32:00+00:00,catalog-api,1,storefront,eng16,ad18886aa0,4,0,0,123,2,2,79.0,2,1,1,,0.565,0.1514,0
2026-02-06T15:51:00+00:00,payments-api,3,payments,eng31,1094cfd3f3,15,4,0,283,8,0,24.0,4,0,1,5.3,0.351,0.1388,0
2026-04-11T02:23:00+00:00,checkout-web,2,storefront,eng12,8b9cb0ee6c,2,5,1,46,1,0,17.0,1,1,1,2.25,0.418,0.1367,0
2026-05-13T22:47:00+00:00,checkout-web,2,storefront,eng21,c607b8877f,22,2,0,143,5,1,37.0,3,1,0,-3.39,0.317,0.482,1
2026-06-10T17:09:00+00:00,recommendations,1,discovery,eng08,91428dfc1e,17,2,0,16,1,0,134.0,4,0,1,-2.0,0.72,0.0133,1
2026-02-15T17:48:00+00:00,auth-svc,3,identity,eng01,540453c52b,17,6,1,36,1,3,20.0,1,1,1,4.49,0.653,0.2206,1
2026-05-10T09:07:00+00:00,auth-svc,3,identity,eng24,96817df7f4,9,6,1,50,2,3,,2,1,1,0.12,0.587,0.4631,0
2026-02-01T02:20:00+00:00,inventory-svc,2,supply,eng19,5b1c7ed17d,2,6,1,64,2,1,18.0,0,1,0,1.59,0.524,0.6937,1
